Ticker Symbol,Security,Debt_to_Equity,Interest_Coverage
DE,Deere & Co.,3.534240887386185,5.088382352941177
DE,Deere & Co.,3.6441257668711655,3.9121382741914363
DLTR,Dollar Tree,1.6425151467017631,1.7477477477477477
DPS,Dr Pepper Snapple Group,2.0937207122774133,9.727891156462585
DVA,DaVita Inc.,2.212657684267142,
DVN,Devon Energy Corp.,0.38811649348748717,1.3573141486810552
DVN,Devon Energy Corp.,1.7103135196481771,-40.13733075435203
DVN,Devon Energy Corp.,1.713176986671166,-3.288716814159292
EMN,Eastman Chemical,2.064957264957265,6.294117647058823
EOG,EOG Resources,0.5140745582469645,-28.15652946801296
EQIX,Equinix,1.272295684221037,1.9415658320354618
EQIX,Equinix,1.6623943093795037,1.4512966654876363
EQIX,Equinix,2.010071665467764,1.3131844777178594
EQIX,Equinix,2.0268705384233767,1.7055491464780725
EQR,Equity Residential,1.1700223311626787,1.337493258570796
EQR,Equity Residential,1.0137099309321294,0.8212809764699508
EQT,EQT Corporation,0.5613142100182568,-1.6671646836127636
ESS,"Essex Property Trust, Inc.",0.8939219312739545,1.8125715000715001
ESS,"Essex Property Trust, Inc.",0.7492904401367066,1.7321839277745357
ESS,"Essex Property Trust, Inc.",0.37611362531447834,1.5761921835783435
ETFC,E*Trade,0.0,0.7188841201716738
ETFC,E*Trade,0.0,1.5539772727272727
ETFC,E*Trade,0.0,1.4690721649484537
ETR,Entergy Corp.,1.419342512972368,-0.1933528927198491
F,Ford Motor,4.392156862745098,18.33534378769602
F,Ford Motor,4.876462885669858,2.548306148055207
F,Ford Motor,3.1380141051602544,14.262613195342821
F,Ford Motor,3.1985258827562566,8.601789709172259
FCX,Freeport-McMoran Cp & Gld,1.0045934270246624,1.3492063492063493
FCX,Freeport-McMoran Cp & Gld,2.5266990291262137,-20.677519379844963
FE,FirstEnergy Corp,1.2701701859439016,1.624315443592552
FE,FirstEnergy Corp,1.5614331723027375,1.1790575916230366
FE,FirstEnergy Corp,1.5609854279043556,1.8798029556650246
FMC,FMC Corporation,1.0914402101088063,-0.6031941031941032
FSLR,First Solar Inc,0.13873787070180607,-1.8660714285714286
FTR,Frontier Communications,2.040596738335513,1.3327863252832548
FTR,Frontier Communications,1.9414878284474764,1.2443778110944528
FTR,Frontier Communications,2.5677966101694913,1.2341954022988506
FTR,Frontier Communications,2.7623797648735304,0.6756513926325247
GGP,General Growth Properties Inc.,2.1219767563605907,0.3840040142290082
GGP,General Growth Properties Inc.,1.9595705161011419,1.4105485430448923
GGP,General Growth Properties Inc.,2.123397185797009,1.4919110234024753
GPN,Global Payments Inc,2.214163772995451,10.386758484111981
GT,Goodyear Tire & Rubber,3.8368617683686175,3.0739795918367347
HBI,Hanesbrands Inc,2.86595708522004,4.740857412307128
HCN,Welltower Inc.,0.8287580303883485,1.5141869373418335
HCN,Welltower Inc.,0.9331934421082224,1.2230670215551096
HCN,Welltower Inc.,0.8179517915275822,1.7987148651148868
HCP,HCP Inc.,0.827434303866954,1.6240340927180028
